1949,select * from zoo2MainSpecz where dr8objid = #
2019-10-02 22:54:00,2
2019-10-03 04:11:00,1
2019-10-03 04:47:00,1
2019-10-03 17:25:00,1
2019-10-03 21:17:00,1
2019-10-04 02:27:00,1
2019-10-04 10:52:00,1
2019-10-05 03:20:00,1
2019-10-05 14:12:00,1
2019-10-06 20:40:00,1
2019-10-08 15:27:00,1
2019-10-10 02:45:00,1
2019-10-12 12:06:00,6
2019-10-12 12:07:00,1
2019-10-12 14:01:00,3
2019-10-12 16:09:00,1
2019-10-13 23:52:00,1
2019-10-13 23:58:00,1
2019-10-17 02:51:00,2
2019-10-17 02:52:00,1
2019-10-19 14:12:00,1
2019-10-20 04:30:00,3
2019-10-21 06:17:00,1
2019-10-22 02:38:00,1
2019-10-24 12:23:00,1
2019-10-24 16:43:00,1
2019-10-24 23:14:00,1
2019-10-27 08:33:00,2
2019-10-27 10:43:00,1
2019-10-27 10:56:00,1
2019-10-27 18:47:00,1
2019-10-28 06:23:00,1
2019-10-28 06:31:00,1
2019-10-28 07:12:00,2
2019-10-28 07:26:00,1
2019-10-28 07:36:00,1
2019-10-28 07:48:00,1
2019-10-28 07:49:00,1
2019-10-28 08:33:00,1
2019-10-28 08:48:00,1
2019-10-28 08:51:00,1
2019-10-28 09:03:00,1
2019-10-28 09:20:00,1
2019-10-28 09:22:00,1
2019-10-28 10:08:00,1
2019-10-28 10:18:00,1
2019-10-28 10:26:00,1
2019-10-28 10:32:00,1
2019-10-28 11:03:00,2
2019-10-28 11:08:00,1
2019-10-28 11:12:00,1
2019-10-28 11:21:00,1
2019-10-28 11:42:00,1
2019-10-28 11:58:00,1
2019-10-28 12:18:00,1
2019-10-28 12:42:00,2
2019-10-28 13:13:00,1
2019-10-28 14:00:00,1
2019-10-28 15:58:00,1
2019-10-28 16:21:00,1
2019-10-28 17:12:00,1
2019-10-28 17:36:00,1
2019-10-28 17:59:00,1
2019-10-28 18:03:00,1
2019-10-28 18:21:00,1
2019-10-28 18:47:00,1
2019-10-28 19:00:00,1
2019-10-28 19:15:00,1
2019-10-28 19:26:00,1
2019-10-28 21:58:00,1
2019-10-28 22:28:00,1
2019-10-28 22:36:00,1
2019-10-28 23:20:00,1
2019-10-29 00:10:00,1
2019-10-29 00:32:00,1
2019-10-29 01:08:00,1
2019-10-29 01:14:00,1
2019-10-29 08:08:00,1
2019-10-29 10:16:00,1
2019-10-29 11:51:00,1
2019-10-29 14:43:00,1
2019-10-29 15:37:00,1
2019-10-29 17:56:00,1
2019-10-29 17:57:00,1
2019-10-29 22:33:00,1
2019-10-29 22:58:00,1
2019-10-30 06:55:00,1
2019-10-30 11:26:00,1
2019-10-30 12:57:00,26
2019-10-30 19:21:00,2
2019-10-31 09:29:00,1
2019-10-31 10:32:00,1
2019-10-31 20:54:00,1
2019-10-31 22:57:00,1
2019-11-01 07:32:00,1
2019-11-01 15:48:00,2
