733,"SELECT u.up_up_id as up_id, dbo.fDistanceEq (u.up_ra, u.up_dec, p.ra, p.dec) as distance, p.ra, p.dec, p.raErr, p.decErr, p.objId, p.run, p.rerun, p.camcol, p.field, dbo.fPhotoModeN (mode) as mode, nChild, dbo.fPhotoTypeN (p.type) as type, clean, flags, psfMag_u, psfMag_g, psfMag_r, psfMag_i, psfMag_z, psfMagErr_u, psfMagErr_g, psfMagErr_r, psfMagErr_i, psfMagErr_z, modelMag_u, modelMag_g, modelMag_r, modelMag_i, modelMag_z, modelMagErr_u, modelMagErr_g, modelMagErr_r, modelMagErr_i, modelMagErr_z, extinction_u, extinction_g, extinction_r, extinction_i, extinction_z, mjd FROM #upload u JOIN #x x ON x.up_id = u.up_id JOIN PhotoObj p ON p.objID = x.objID ORDER BY u.up_id, distance"
2019-09-27 08:36:00,1
2019-09-27 22:14:00,1
2019-09-27 22:38:00,1
2019-09-27 22:48:00,1
2019-09-27 22:54:00,1
2019-09-27 23:23:00,1
2019-09-27 23:36:00,1
2019-09-27 23:47:00,1
2019-09-28 03:48:00,1
2019-09-28 19:55:00,1
2019-09-28 22:43:00,1
2019-09-29 00:19:00,1
2019-09-29 02:06:00,1
2019-09-30 18:51:00,1
2019-09-30 19:40:00,1
2019-10-02 17:15:00,1
2019-10-03 16:19:00,1
2019-10-03 16:32:00,1
2019-10-03 17:44:00,1
2019-10-03 21:53:00,1
2019-10-07 13:57:00,1
2019-10-07 19:23:00,1
2019-10-08 19:29:00,1
2019-10-10 18:40:00,1
2019-10-10 18:42:00,1
2019-10-11 18:29:00,1
2019-10-11 20:32:00,1
2019-10-11 20:38:00,1
2019-10-11 20:42:00,1
2019-10-11 21:00:00,1
2019-10-11 22:44:00,1
2019-10-12 02:46:00,1
2019-10-13 10:29:00,1
2019-10-14 08:16:00,1
2019-10-14 13:04:00,1
2019-10-14 13:06:00,1
2019-10-14 16:56:00,1
2019-10-14 18:23:00,1
2019-10-14 19:07:00,1
2019-10-14 19:26:00,1
2019-10-14 21:35:00,1
2019-10-14 21:45:00,1
2019-10-14 22:29:00,1
2019-10-14 22:31:00,1
2019-10-14 22:55:00,1
2019-10-14 22:57:00,1
2019-10-14 23:38:00,1
2019-10-15 22:21:00,1
2019-10-16 00:36:00,1
2019-10-16 00:53:00,1
2019-10-16 00:54:00,1
2019-10-16 01:04:00,1
2019-10-16 02:13:00,1
2019-10-16 06:35:00,1
