14484,"SELECT  top # &&& + cast(p.objId as varchar(#)) + &&& + cast(p.objId as varchar(#)) + &&& as objID,    p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,    p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z    FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p    WHERE n.objID=p.objID"
2019-07-29 09:22:00,4
2019-07-29 09:24:00,65
2019-07-29 09:25:00,8
2019-07-29 09:26:00,5
2019-07-29 09:27:00,4
2019-07-29 09:28:00,11
2019-07-29 09:29:00,2
2019-07-29 09:30:00,1
2019-07-29 09:32:00,4
2019-07-29 09:34:00,64
2019-07-29 09:35:00,8
2019-07-29 09:36:00,3
2019-07-29 09:37:00,6
2019-07-29 09:38:00,11
2019-07-29 09:39:00,2
2019-07-29 09:40:00,1
2019-07-29 09:42:00,4
2019-07-29 09:44:00,64
2019-07-29 09:45:00,8
2019-07-29 09:46:00,3
2019-07-29 09:47:00,6
2019-07-29 09:48:00,11
2019-07-29 09:49:00,2
2019-07-29 09:50:00,1
2019-07-29 09:52:00,4
2019-07-29 09:54:00,64
2019-07-29 09:55:00,8
2019-07-29 09:56:00,3
2019-07-29 09:57:00,6
2019-07-29 09:58:00,11
2019-07-29 09:59:00,2
2019-07-29 10:00:00,1
2019-07-29 10:02:00,4
2019-07-29 10:04:00,66
2019-07-29 10:05:00,8
2019-07-29 10:06:00,3
2019-07-29 10:07:00,6
2019-07-29 10:08:00,11
2019-07-29 10:09:00,2
2019-07-29 10:10:00,1
2019-07-29 10:12:00,4
2019-07-29 10:14:00,64
2019-07-29 10:15:00,8
2019-07-29 10:16:00,3
2019-07-29 10:17:00,6
2019-07-29 10:18:00,12
2019-07-29 10:19:00,2
2019-07-29 10:20:00,1
2019-07-29 10:22:00,4
2019-07-29 10:24:00,64
2019-07-29 10:25:00,8
2019-07-29 10:26:00,3
2019-07-29 10:27:00,6
2019-07-29 10:28:00,11
2019-07-29 10:30:00,3
2019-07-29 10:32:00,4
2019-07-29 10:34:00,65
2019-07-29 10:35:00,8
2019-07-29 10:36:00,3
2019-07-29 10:37:00,6
2019-07-29 10:38:00,11
2019-07-29 10:40:00,3
2019-07-29 10:42:00,4
2019-07-29 10:44:00,64
2019-07-29 10:45:00,8
2019-07-29 10:46:00,3
2019-07-29 10:47:00,6
2019-07-29 10:48:00,11
2019-07-29 10:50:00,3
2019-07-29 10:52:00,4
2019-07-29 10:54:00,60
2019-07-29 10:55:00,12
2019-07-29 10:56:00,3
2019-07-29 10:57:00,6
2019-07-29 10:58:00,11
2019-07-29 11:00:00,3
2019-07-29 11:02:00,4
2019-07-29 11:04:00,64
2019-07-29 11:05:00,8
2019-07-29 11:06:00,3
2019-07-29 11:07:00,6
2019-07-29 11:08:00,11
2019-07-29 11:10:00,3
2019-07-29 11:12:00,4
2019-07-29 11:14:00,64
2019-07-29 11:15:00,8
2019-07-29 11:16:00,3
2019-07-29 11:17:00,6
2019-07-29 11:18:00,13
2019-07-29 11:20:00,3
2019-07-29 11:22:00,4
2019-07-29 11:24:00,51
2019-07-29 11:25:00,22
2019-07-29 11:26:00,3
2019-07-29 11:27:00,6
2019-07-29 11:28:00,11
2019-07-29 11:30:00,3
2019-07-29 11:32:00,4
2019-07-29 11:34:00,53
2019-07-29 11:35:00,22
2019-07-29 11:36:00,3
2019-07-29 11:37:00,6
2019-07-29 11:38:00,12
2019-07-29 11:40:00,3
2019-07-29 11:42:00,4
2019-07-29 11:44:00,51
2019-07-29 11:45:00,24
2019-07-29 11:46:00,3
2019-07-29 11:47:00,6
2019-07-29 11:48:00,11
2019-07-29 11:50:00,3
2019-07-29 11:52:00,3
2019-07-29 11:53:00,1
2019-07-29 11:54:00,50
2019-07-29 11:55:00,22
2019-07-29 11:56:00,3
2019-07-29 11:57:00,6
2019-07-29 11:58:00,11
2019-07-29 12:00:00,3
2019-07-29 12:02:00,3
2019-07-29 12:03:00,1
2019-07-29 12:04:00,50
2019-07-29 12:05:00,23
2019-07-29 12:06:00,3
2019-07-29 12:07:00,6
2019-07-29 12:08:00,11
2019-07-29 12:10:00,3
2019-07-29 12:12:00,3
2019-07-29 12:13:00,1
2019-07-29 12:14:00,50
2019-07-29 12:15:00,22
